,Description,AddressLabel,Address
0,a flat cooker city center location near city bike collection point crossed road,1,"10 Killarney Street, Dublin 1, North Strand, Dublin 3"
1,bright spacious first floor south facing apartment hall door large entrance bedroom excellent storage room electric shower near hospital shopping mon major bus city no,12,"Kimmage Road West, Kimmage, Dublin 12"
2,only brant estate delighted bring balbriggan rental market great first floor one double bedroom apartment great location right town two train station property living namely studio apartment there double bedroom bathroom close local,0,"Quay Street, Balbriggan, Co. Dublin"
3,compact bright cozy studio great area please include thanks,-1,"Flat 4, 6 Waverley Terrace, Kenilworth Square Nort, Dublin 6W"
4,ray please follow u on and a are there first video available on request spacious bedroom bathroom studio now ray proudly present excellent bedroom bathroom studio apartment market ever popular development court bright spacious living accommodation entrance hallway fully fitted kitchen dining area bedroom area lounge area spacious patio rear fully tiled bathroom electric shower conveniently close village offer every possible amenity available doorstep the intersection couple car area also well excellent public transport link city via local quality bus corridor additional all included recently decorated throughout fully furnished high standard fully fitted kitchen all gas fired central heating double glazed fully tiled bathroom electric shower highly sought location quite development various transport link doorstep highly advised fill in your information click advertiser on the right hand side of the advertisement we will contact you by phone or with when they arise,11,"Wellmount Court, Finglas West, Finglas, Dublin 11"
5,please respond estate present studio rent the property heart abundance transport link within walking distance no parking available,6,"Flat 8, 57 Rathmines Road Upper, Rathmines, Dublin 6"
6,large bedroom x business inch free air free heating electric hot water included large room house share property agreement start small room,12,"Naas Road, Bluebell, Dublin 12"
7,bed apartment rent double bedroom kitchen dining area bathroom close stop square hospital no no garden access apartment side entrance main property parking garden property access via side entrance main property,24,"Old Bawn, Tallaght, Dublin 24"
8,comfortable one bedroom flat area fully fitted kitchen bathroom electric shower very convenient location property rented furnished unfurnished multiple bus available nearby very convenient city per week well insulated b nonsmoking property potential parking available deposit rent advance,3,"Lambay Road, Drumcondra, Dublin 3"
9,large studio apartment recently completely lease beside stop close city please brief arrange appointment,6,"Ranelagh Road, Ranelagh, Dublin 6"
10,delighted give opportunity rent bed apartment great location recently good standard property city living doorstep yet still situated much sought address only walk o street flat also park station cemetery flat a road upper come market recently property kitchen living area bedroom double bed tiled bathroom number situated area numerous recreational locality train station stroll away city within twenty minute walk also well numerous bus within walking distance city convenient numerous offer easy access east point business park airport mater temple street trinity m m the area well great public transport system also learning several prestigious educational within walking distance st college education mater institute education all college all associated nearby city university the green open close proximity city make unique location you walk station use arrow rail service also numerous bus quality bus corridor please contact via only,0,90 Drumcondra Road Upper
11,very small tiny studio right city it essentially like small hotel room small kitchen one side clean bed linen provided commencement included electricity standard usage charge it centrally spire street yet secluded quiet,1,"Apartment 2, 26 Marlborough Street, Dublin 1"
12,only brant delighted welcome beautiful one bedroom apartment market property village close local it good size entrance hall leading large bright spacious living room there fully kitchen dining area there large bright size double bedroom plenty wardrobe space main bathroom entrance hall property would ideal anyone looking close proximity local business park highly,0,"Carnegie Court Apartments, Swords, Co. Dublin"
13,available st studio bright modern fully furnished studio apartment period building walk red line walk street gas central heating included in the rent open plan area fully fitted kitchen electric oven ceramic hob cooker electric extractor stainless steel microwave washing drying machine separate laundry room included rent kitchen crockery cutlery provided comfortable living area quality comfortable double bed wooden flooring provided low gas central heating laundry included in the rent super convenient city location walking distance north south city st henry st st shopping temple bar st green within easy walking distance ideal city location study trinity dit st st within easy walking distance work mater hospital nursing training temple st town doorstep convenient transport link walk new extension st red line numerous bus within walk,7,"66 Blessington Street, Dublin 7, Phibsborough, Dublin 7"
14,ray please follow u on and a are there first video available on request luxury flat first time available now ray delighted present bright spacious one bedroom granny flat market ever popular extremely sought location forest the truly stunning mature development set heart village throw m n road city short drive quick hop close the flat well laid superbly current owner location ideal close every conceivable amenity sport leisure public transport walking distance village park host primary secondary well stop bright spacious accommodation lounge kitchen one double bedroom main family bathroom highly key fully fitted modern kitchen large double bedroom first time secure parking available now location location location large lounge area short walk village ray phone please fill in your contact information on the right and click send message we will contact you with when they arise,0,"Forest Hills, Rathcoole, Co. Dublin"
15,ray please follow u on and a are there first video available on request large spacious one bedroom now ray delighted present superb one bedroom apartment market heart village one bedroom apartment bright spacious accommodation entrance hall fully fitted kitchen double bedroom large living area main bathroom the property situated within well development court m motorway the property ideal coastal village location setting within easy commuting distance city close local bus service city village within walking distance excellent suburban rail service minute run village additional stunning condition throughout spacious double bedroom fitted spacious apartment plenty open space storage parking available train station doorstep lovely seaside town fully fitted kitchen double glazed highly sought location quite development available fill in your information click advertiser on the right hand side of the advertisement we will contact you by phone or with when they arise,0,"Beverton Court, Donabate, Co. Dublin"
16,phoenix doorstep ground floor one apartment available comfortable modern living space within period property accommodation must see the location second none well access city beyond plus variety doorstep other valuable location include short walking distance phoenix park new campus domestic waste collection also included without additional charge please full arrange,7,"North Circular Road, Dublin 7"
17,follow u see new first phone delighted bring beautiful unit market situated excellent location one these currently unfurnished furnished requirement tenant each unit complete wooden tiled bathroom throughout fully fitted kitchen please note washer communal pay go base there car parking facility the area well excellent public transport link bus airport city the location one could wish short stroll bring national botanic city university beautiful college park all village offer doorstep there abundance national secondary nearby also convenient bon hospital hospital the mater hospital please note give preference via no phone accepted due high volume interest might possible respond every application advertisement were currently unprecedented volume advise available limited first come first serve basis tend fill quickly inconvenience may cause,0,"2A, 72 Drumcondra Road Lower"
18,the premium collection by far prestigious best rental accommodation ever market the premium mixed use development number one heart embassy belt residential location these stunning spacious bed average fully fitted furnished highest quality set new apartment rental living market with space amenity leisure ranging destination spa health fitness club concierge service business spectacular roof terrace number one unmatched market commensurate best residential the premium collection the premium collection number bed fitted highest rental living all dual aspect street internal courtyard provide bright spacious bespoke fully ample storage visit our to request a today starting,4,"2 Bedroom Apartment, Number 1 Ballsbridge, Shelbourne Road, Dublin 4"
19,longboat quay north charming bedroom apartment heart grand canal dock canal river recently apartment spacious open plan area balcony extraordinary the open plan living area wide screen there two double one master suite there generous office desk space throughout apartment the area sought area bord energy brew dog bar marker hotel many door step the dart minute walk away meta stripe doorstep the apartment extremely comfortable ready immediate please arrange private,2,"Apartment 704, Longboat Quay North Apartments, Sir, Grand Canal Dock, Dublin 2"
