,Address,dublinRegionString,Bedroom,Bathroom,PropertyType,originalPrice,Price,Description
0,"10 Killarney Street, Dublin 1, North Strand, Dublin 3",1,0,0,Studio,€900 per month,900,"A flat with bathrooms and showers fridge and freezer/microwave/oven /and cooker . 
City center location near Luas and city bike collection point just crossed road"
1,"Kimmage Road West, Kimmage, Dublin 12",12,1 ,1 ,Apartment,€920 per month,920,"Bright spacious first floor south facing apartment with own hall door, large entrance hall,living 
room,separate kitchen,double 
bedroom, excellent storage space,shower room with electric shower ,GFCH, alarm,parking, near Crumlin 
Children's Hospital, Ashleaf Shopping Centre and 
M50,on major bus routes to city centre and Blackrock and Dundrum. No smokers."
2,"Quay Street, Balbriggan, Co. Dublin",Other,1 ,1 ,Apartment,"€1,100 per month",1100,"*** EMAIL ENQUIRIES ONLY ***
Brant Higgins Estate Agents are delighted to bring to the Balbriggan rental market this great first floor one double bedroom apartment, in a great location right in centre of town.  Two mins to Train Station.  This property consists of a living room/dining/kitchen, namely a studio apartment... There is a double bedroom with bathroom. it is Close to all local amenities including shops, pharmacies, restaurants, banks etc...."
3,"Flat 4, 6 Waverley Terrace, Kenilworth Square Nort, Dublin 6W",6W,1 ,1 ,Apartment,"€1,100 per month",1100,"Compact, bright and cozy studio in a great area. Please include bio with any references with email. Thanks"
4,"Wellmount Court, Finglas West, Finglas, Dublin 11",11,0,0,Studio,"€1,100 per month",1100,"**RAY COOKE LETTINGS "" PLEASE FOLLOW US ON FACEBOOK AND INSTAGRAM AS PROPERTIES ARE ADVERTISED THERE FIRST- VIDEO VIEWINGS AVAILABLE ON REQUEST** 

****SPACIOUS 1 BEDROOM 1 BATHROOM STUDIO APARTMENT********ALL BILLS INCLUDED********IMMACULATELY PRESENTED THROUGHOUT********FULLY FURNISHED****AVAILABLE NOW!! 

RAY COOKE LETTINGS proudly present this excellent 1 Bedroom 1 bathroom studio apartment to the lettings market located in ever so popular development of Wellmount Court, in Finglas Dublin 11. Bright and spacious living accommodation comprises of entrance hallway, fully fitted kitchen, Dining area, Bedroom area, Lounge area, Spacious Patio to the rear and Fully tiled bathroom with electric shower. Conveniently located close to Finglas village and Charlestown which both offer every possible amenity available on your doorstep. The M50/M2 intersection is a couple of minutes by car and the area is also well serviced by excellent public transport links to Dublin City Centre via the local quality bus corridor. Additional Features; 

All Bills Included 
Recently refurbished and decorated throughout 
Fully furnished to a very high Standard
Fully Fitted Kitchen with All Mod-cons 
Gas fired central heating 
Double glazed windows
Fully tiled bathroom with electric shower
Highly sought after location
Quite Development 
Various transport links on your doorstep 
Viewing highly advised! 

**FILL IN YOUR INFORMATION &amp; CLICK EMAIL ADVERTISER ON THE RIGHT HAND SIDE OF THE ADVERTISEMENT - WE WILL CONTACT YOU BY PHONE OR EMAIL WITH VIEWING DETAILS WHEN THEY ARISE**"
5,"Flat 8, 57 Rathmines Road Upper, Rathmines, Dublin 6",6,0,0,Studio,"€1,122 per month",1122,Please respond by email only Ryan Estate Agents are pleased to present this First-floor studio for rent. The property is located in the heart of Rathmines with an abundance of amenities and transport links within walking distance. No Parking Available
6,"Naas Road, Bluebell, Dublin 12",12,0,0,Studio,€260 per week,1040,"Large ensuite bedroom all mod cons, 1 GB X 1 GB business broadband, 32-inch tv free to air tv, free heating, electric and hot water bills included.
this is a large room in a house share 
property is offered under a licence agreement only

prices start at €260 p-week for a small room"
7,"Old Bawn, Tallaght, Dublin 24",24,1 ,1 ,Apartment,"€1,200 per month",1200,"1 bed apartment for rent - double bedroom , kitchen /dining area and bathroom . Close to shops , Luas stop / square and Tallaght hospital . No pets Allowed . ÃƒÂƒÃ‚Â¢ÃƒÂ‚Ã‚Â‚ÃƒÂ‚Ã‚Â¬1,200 including utilities . No garden and access to the apartment is through side entrance on main houses property . **** no parking or garden on this property - access via side entrance of main property *****"
8,"Lambay Road, Drumcondra, Dublin 3",3,1 ,1 ,Apartment,€280 per week,1120,"Comfortable one bedroom flat, kitchen/dining/living area.  Fully fitted kitchen with washer/dryer. Bathroom with electric shower. Very convenient location, property can be rented furnished or unfurnished. 

Multiple bus routes and shops are available nearby. Very convenient to city centre.

280euro per week including bills.
Well insulated (B3).
Non-smoking property
Potential for parking available

Deposit and rent in advance
References required"
9,"Ranelagh Road, Ranelagh, Dublin 6",6,0,0,Studio,€285 per week,1140,"Large studio apartment, Recently completely renovated.        6 months lease.
Beside Luas Stop and close to city center,.Non smokers and no pets. Please email with brief C.V. to arrange appointment"
10,90 Drumcondra Road Upper,Other,1 ,1 ,Apartment,"€1,240 per month",1240,"MOVEHOME are delighted to give tenants the opportunity to rent this 1 Bed apartment in such a great location. Recently renovated to the good standard, this property has city living on your doorstep yet still situated in the much sought after address of Drumcondra. Only minutes walk to O' Connell Street this flat is also neighbouring Croke Park, Drumcondra Station and Glasnevin Cemetery. Flat A, 90 Drumcondra Road Upper comes to the letting market recently redecorated. This property is equipped with a fiited kitchen, living area, seprate bedroom with double bed and tiled bathroom. Number 90 is situated in a well-established area with numerous schools, shops and recreational facilities in the locality. Drumcondra train station is just minutes stroll away and Dublin city centre is within a twenty minute walk. Drumcondra is also well serviced by numerous bus routes. Located within walking distance of the City Centre and convenient to the numerous shops, cafes, bars and restaurants Drumcondra &amp; Glasnevin villages have to offer. Easy access is enjoyed to the IFSC, East Point Business Park, Dublin Airport, Beaumont, Mater &amp; Temple Street Hospitals, DCU, Trinity and the M1 &amp; M50 motorways. The area is very well serviced by a great public transport system and Drumcondra is also the centre of learning. Several of Ireland's most prestigious educational institutions are within walking distance, including St Patrick's College of Education, Mater Dei Institute of Education and All Hallows College. All 3 are associated with nearby Dublin City University. The green open spaces and its close proximity to the city make it a unique location. You can walk to Drumcondra Station to use the Arrow rail service and there are also numerous bus routes servicing Drumcondra and Fairview, including a Quality Bus Corridor (QBC). ***PLEASE CONTACT MOVEHOME VIA EMAIL ONLY***"
11,"Apartment 2, 26 Marlborough Street, Dublin 1",1,1 ,1 ,Apartment,"€1,300 per month",1300,"Very, very small (tiny) studio right in the centre of Dublin City. It is essentially like a small hotel room with a small kitchen to one side. Clean bed linen provided at commencement. Wifi included. Electricity paid on standard usage charge. It is most centrally located being just 2 minutes from the Spire on O'Connell street, yet it is very secluded and quiet."
12,"Carnegie Court Apartments, Swords, Co. Dublin",Other,1 ,1 ,Apartment,"€1,300 per month",1300,"***** EMAIL ENQUIRIES ONLY ***** Brant Higgins are delighted to welcome this beautiful one bedroom Apartment to the market. This property is located in Swords village close to all local amenities. It comprises of good size entrance hall leading to large bright spacious living room. There is a fully equipped kitchen with all appliances and dining area There is a large and bright size double bedroom, with plenty of wardrobe space. Main bathroom is off the entrance hall. This property would be ideal for anyone looking for close proximity to all local amenities . Dublin Airport......M1.......M50.......Airside Business Park.... Viewing is highly recommended."
